transmission,model,Year of Manufacture,City,Fuel Type,bt,Ownership,Kms Driven,Engine Type
Manual,Toyota Corolla Altis,2011.0,Bangalore,Diesel,Sedan,First Owner,120000.0,SOHC D-4D Diesel Engine
Manual,Maruti Swift Dzire,2015.0,Bangalore,Petrol,Sedan,First Owner,25170.0,
Manual,Maruti Ciaz,2021.0,Bangalore,Petrol,Sedan,First Owner,25022.0,K15 Smart Hybrid Petrol Engine
Manual,Maruti Swift,2012.0,Bangalore,Diesel,Hatchback,Second Owner,100000.0,DDiS Diesel Engine
Manual,Maruti Ciaz,2020.0,Bangalore,Petrol,Sedan,First Owner,26367.0,K15 Smart Hybrid Petrol Engine
Automatic,Hyundai Elantra,2015.0,Bangalore,Petrol,Sedan,Second Owner,76567.0,Dual VTVT Petrol Engine
Manual,Toyota Innova,2013.0,Bangalore,Diesel,MUV,Second Owner,120000.0,2KD-FTV Diesel Engine
Automatic,Hyundai Grand i10,2015.0,Bangalore,Petrol,Hatchback,Second Owner,36459.0,Kappa VTVT Petrol Engine
Manual,Maruti SX4 S Cross,2016.0,Bangalore,Diesel,SUV,First Owner,93725.0,DDiS 200 Diesel Engine
Automatic,Maruti Ciaz,2016.0,Bangalore,Petrol,Sedan,Second Owner,115599.0,k14B VVT Engine
Manual,Maruti Swift Dzire,2015.0,Bangalore,Petrol,Sedan,First Owner,43469.0,
Manual,Ford Ikon,2005.0,Bangalore,Petrol,Sedan,Fourth Owner,70000.0,In-Line Engine
Automatic,BMW X5,2019.0,Bangalore,Diesel,SUV,Second Owner,77000.0,TwinPower Turbo 6-cylinder engine
Manual,Maruti Vitara Brezza,2018.0,Bangalore,Diesel,SUV,First Owner,100000.0,DDiS 200 Diesel Engine
Manual,Mitsubishi Cedia,2008.0,Bangalore,Petrol,Sedan,First Owner,72000.0,In-Line Engine
Automatic,Jaguar XF,2013.0,Bangalore,Diesel,Sedan,First Owner,77000.0,Diesel Engine 
Automatic,Audi Q7,2013.0,Bangalore,Diesel,SUV,First Owner,87101.0,V-Type Diesel Engine
Manual,Volkswagen Polo,2021.0,Bangalore,Petrol,Hatchback,Second Owner,40771.0,1.0L TSI Petrol
Manual,Honda Jazz,2018.0,Bangalore,Petrol,Hatchback,First Owner,28000.0,i-VTEC Petrol Engine
Manual,Maruti Wagon R,2008.0,Bangalore,Petrol,Hatchback,Third Owner,40000.0,FC Petrol Engine
Automatic,Hyundai Venue,2020.0,Bangalore,Petrol,SUV,First Owner,26000.0,Kappa 1.0 L Turbo GDi Petrol
Manual,Maruti Wagon R,2012.0,Bangalore,Petrol,Hatchback,First Owner,76032.0,K Series Petrol Engine
Manual,Maruti Ciaz,2018.0,Bangalore,Petrol,Sedan,First Owner,113780.0,k15B VVT Engine
Automatic,Audi A3,2019.0,Bangalore,Diesel,Sedan,First Owner,24000.0,TDI Diesel Engine
Manual,Hyundai Venue,2020.0,Bangalore,Diesel,SUV,Second Owner,65812.0,U2 CRDi Diesel
Automatic,Skoda Kushaq,2022.0,Bangalore,Petrol,SUV,First Owner,10000.0,1.0 TSI Petrol Engine
