transmission,model,Year of Manufacture,City,ft,bt,Ownership,Kms Driven,Engine Type,price
1,236,2016.0,0,1,7,1,100000.0,465,700000.0
1,86,2021.0,0,4,8,1,7598.0,83,1499000.0
1,236,2017.0,0,4,7,1,38520.0,309,762000.0
1,119,2022.0,0,4,7,1,20000.0,452,1625000.0
1,236,2014.0,0,1,7,3,110455.0,463,632000.0
0,85,2020.0,0,4,7,1,26901.0,508,1218000.0
0,77,2017.0,0,4,2,1,65376.0,320,524000.0
1,147,2018.0,0,1,7,4,28177.0,498,1405000.0
1,108,2022.0,0,4,7,1,10000.0,369,1390000.0
0,122,2021.0,0,4,7,1,30000.0,78,1890000.0
0,73,2018.0,0,4,7,1,27000.0,450,1275000.0
0,89,2010.0,0,4,2,4,90000.0,278,275000.0
1,63,2022.0,0,4,8,1,20000.0,473,1125000.0
0,63,2016.0,0,4,8,1,82998.0,469,650000.0
0,3,2010.0,0,4,8,4,110000.0,278,700000.0
1,63,2019.0,0,4,8,1,14500.0,469,1100000.0
1,145,2016.0,0,1,8,4,120000.0,462,260000.0
0,89,2010.0,0,4,2,3,68000.0,278,395000.0
1,87,2019.0,0,4,8,1,25887.0,52,681000.0
1,176,2020.0,0,4,2,1,74094.0,296,405000.0
0,66,2018.0,0,4,2,1,40000.0,476,765000.0
1,175,2014.0,0,1,2,1,91045.0,220,487000.0
1,147,2018.0,0,1,7,1,80033.0,498,1474000.0
0,147,2017.0,0,1,7,3,70000.0,498,1340000.0
0,243,2021.0,0,4,4,1,13957.0,508,770000.0
0,157,2018.0,0,4,2,3,34140.0,455,818000.0
1,50,2017.0,0,4,7,1,20056.0,396,724000.0
0,160,2016.0,0,4,2,4,38233.0,296,468000.0
1,298,2013.0,0,4,8,1,100000.0,402,500000.0
1,50,2016.0,0,1,7,3,50000.0,380,600000.0
1,147,2017.0,0,1,7,3,70000.0,498,1350000.0
1,77,2016.0,0,4,2,1,44000.0,320,525000.0
1,76,2006.0,0,4,2,3,90000.0,278,175000.0
0,163,2016.0,0,4,8,1,30000.0,478,725000.0
1,77,2018.0,0,4,2,1,50000.0,320,550000.0
1,179,2019.0,0,4,2,1,98000.0,449,650000.0
0,66,2017.0,0,4,2,1,47000.0,476,775000.0
1,86,2019.0,0,4,8,1,70000.0,450,900000.0
1,155,2020.0,0,4,2,1,16998.0,251,408000.0
0,77,2017.0,0,4,2,1,15256.0,320,642000.0
1,86,2019.0,0,4,8,1,70000.0,450,900000.0
0,39,2020.0,0,4,2,1,4495.0,22,521000.0
1,243,2020.0,0,4,4,1,34561.0,508,695000.0
1,156,2018.0,0,4,2,3,40000.0,289,390000.0
1,273,2016.0,0,4,2,1,142135.0,355,429000.0
1,49,2021.0,0,4,8,1,120000.0,396,520000.0
0,184,2019.0,0,4,2,1,9553.0,297,625000.0
1,238,2022.0,0,4,2,1,7600.0,15,601000.0
1,101,2017.0,0,1,7,1,120000.0,124,1300000.0
0,77,2017.0,0,4,2,1,20000.0,320,645000.0
